jurisdiction,year,quarter,num_inmate_are_3rd_striker,num_inmate_are_2nd_striker,num_unserved_felony_warrants,num_unserved_misdemean_warrants,percent_inmates_illegal_alien,num_inmate_assaults_on_staff,money_spent_medication_last_qtr,money_spent_psych_med_last_qtr,avg_length_stay_all_releases,avg_length_stay_pretrial_release,avg_length_stay_sentnced_release,census_county_name,fips_state_code,fips_county_code,fips_state_county_code
Sacramento Sheriff's Department,2015,3,49,253,6408,60762,3.6,24,852338,198802,36,26,59,Sacramento County,06,067,06067
San Benito Sheriff's Department,2015,3,0,0,NA,NA,0.03,0,14378,2449,19,6,60,San Benito County,06,069,06069
San Bernardino Sheriff's Department,2015,3,4,21,16207,206903,1.25,19,331482,92723,NA,NA,NA,San Bernardino County,06,071,06071
San Diego Sheriff's Department,2015,3,176,782,17832,28165,1,28,1147087,227308,21.4,10,71.1,San Diego County,06,073,06073
San Diego Work Furlough,2015,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Francisco Sheriff's Department,2015,3,NA,NA,12357,4564,NA,10,662415,81963,21.3,12,80,San Francisco County,06,075,06075
San Joaquin Sheriff's Department,2015,3,9,11,NA,NA,0,NA,NA,NA,22,5,59,San Joaquin County,06,077,06077
San Luis Obispo Sheriff's Department,2015,3,NA,NA,1292,15516,NA,0,83090,26006,NA,NA,NA,San Luis Obispo County,06,079,06079
San Mateo Sheriff's Department,2015,3,50,239,4082,35102,0,7,NA,NA,22,6,68,San Mateo County,06,081,06081
Santa Barbara Sheriff's Department,2015,3,0,23,NA,NA,NA,16,35454,7974,17,12,21,Santa Barbara County,06,083,06083
Santa Clara Corrections Department,2015,3,43,NA,NA,NA,NA,0,196892,61519,30,44,110,Santa Clara County,06,085,06085
Santa Cruz Sheriff's Department,2015,3,NA,NA,2573,8961,3,1,49042,33508,NA,NA,NA,Santa Cruz County,06,087,06087
Shasta Sheriff's Department,2015,3,NA,NA,144,570,NA,2,29470,6558,NA,NA,NA,Shasta County,06,089,06089
Siskiyou Sheriff's Department,2015,3,3,3,276,1114,1,0,29821,12640,14,5,23,Siskiyou County,06,093,06093
Solano Sheriff's Department,2015,3,8,4,7e3,6e3,1,13,92625,20729,19.5,NA,NA,Solano County,06,095,06095
Sonoma Sheriff's Department,2015,3,5,16,1722,10955,0,15,444126,296177,25.6,8.6,55.9,Sonoma County,06,097,06097
Stanislaus Sheriff's Department,2015,3,36,NA,NA,NA,2,2,125629,7497,21,8,71,Stanislaus County,06,099,06099
Sutter Sheriff's Department,2015,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Sutter County,06,101,06101
Tehama Sheriff's Department,2015,3,NA,NA,NA,NA,15,0,40998,23867,18,NA,NA,Tehama County,06,103,06103
Trinity Sheriff's Department,2015,3,NA,NA,NA,NA,6,0,10155,4803,22,7,78,Trinity County,06,105,06105
Tulare Sheriff's Department,2015,3,NA,NA,NA,NA,NA,0,NA,NA,52.01,30.99,74.72,Tulare County,06,107,06107
Tuolumne Sheriff's Department,2015,3,NA,27,472,1496,0,0,4316,2603,NA,NA,NA,Tuolumne County,06,109,06109
Ventura Sheriff's Department,2015,3,NA,NA,5684,12050,0.33999999999999997,12,171852,37304,NA,NA,NA,Ventura County,06,111,06111
Ventura Work Furlough,2015,3,NA,NA,NA,NA,0,0,0,0,42,NA,46,Ventura County,06,111,06111
Yolo Sheriff's Department,2015,3,6,22,653,4066,NA,2,63408,7589,NA,NA,NA,Yolo County,06,113,06113
Yuba Sheriff's Department,2015,3,NA,NA,310,674,45,3,38069,NA,NA,NA,NA,Yuba County,06,115,06115
Alameda Sheriff's Department,2015,2,57,797,4280,11174,3,16,1079716,473501,NA,NA,NA,Alameda County,06,001,06001
Amador Sheriff's Department,2015,2,0,0,0,0,0,4,21247,888,19.979999999999997,7.08,55.41,Amador County,06,005,06005
Butte Sheriff's Department,2015,2,NA,NA,NA,NA,NA,NA,36681,2974,12,4,25,Butte County,06,007,06007
Calaveras Sheriff's Department,2015,2,NA,NA,178,2301,0,0,13683,1187,NA,NA,NA,Calaveras County,06,009,06009
Colusa Sheriff's Department,2015,2,0,0,181,1484,8.33,0,14106,11434,11.673,6.430000000000001,25.397000000000002,Colusa County,06,011,06011
Contra Costa Sheriff's Department,2015,2,NA,NA,625,1355,5,23,252912,110525,NA,NA,NA,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,2015,2,NA,NA,332,1616,2,0,NA,NA,20.7,10.6,59.5,El Dorado County,06,017,06017
Fresno Sheriff's Department,2015,2,23,135,NA,NA,9.57,26,168439,42507,29.8,23.2,25.7,Fresno County,06,019,06019
Glenn Sheriff's Department,2015,2,0,0,212,3907,1,1,8262,1036,28,23,26,Glenn County,06,021,06021
Humboldt Sheriff's Department,2015,2,NA,NA,942,6077,0,14,30974.19,9019,12.4,7.1,37.1,Humboldt County,06,023,06023
Imperial Sheriff's Department,2015,2,NA,NA,1106,29893,NA,0,52951,2619,11,10,22,Imperial County,06,025,06025
Inyo Sheriff's Department,2015,2,NA,NA,191,1332,3,0,25834,16500,42,4,92,Inyo County,06,027,06027
Kern Sheriff's Department,2015,2,169,217,6885,45729,2,7,164203,16973,30,19,66,Kern County,06,029,06029
Kings Sheriff's Department,2015,2,NA,NA,724,2058,10,0,39514,7453,NA,NA,NA,Kings County,06,031,06031
Lake Sheriff's Department,2015,2,NA,NA,307,2626,NA,NA,22884,10175,NA,NA,NA,Lake County,06,033,06033
Lassen Sheriff's Department,2015,2,NA,NA,168,1820,NA,0,NA,NA,NA,NA,NA,Lassen County,06,035,06035
Los Angeles Sheriff's Department,2015,2,NA,NA,63911,303567,21,66,4616716,640411,65.2,8.7,66.9,Los Angeles County,06,037,06037
Madera Corrections Department,2015,2,NA,NA,NA,NA,6,7,24877,6642,50,8,104,Madera County,06,039,06039
Marin Sheriff's Department,2015,2,0,4,30,184,17,0,26595,13584,15,11,30,Marin County,06,041,06041
Mariposa Sheriff's Department,2015,2,0,0,80,1129,0,1,14602,1022,14.7,10.1,28.5,Mariposa County,06,043,06043
Mendocino Sheriff's Department,2015,2,NA,NA,416,3996,3,4,17731,4342,NA,NA,NA,Mendocino County,06,045,06045
Merced Sheriff's Department,2015,2,NA,NA,3823,7343,1,2,55116,10073,30.2,12.9,51.1,Merced County,06,047,06047
Modoc Sheriff's Department,2015,2,2,2,84,186,1,0,5993,2877,NA,NA,NA,Modoc County,06,049,06049
Mono Sheriff's Department,2015,2,0,1,158,3762,1,0,NA,NA,NA,NA,NA,Mono County,06,051,06051
Monterey Sheriff's Department,2015,2,NA,NA,2901,6638,NA,6,134037,35438,NA,NA,NA,Monterey County,06,053,06053
Napa Corrections Department,2015,2,0,NA,1040,4199,0,0,27640,13299,19,13,27,Napa County,06,055,06055
Nevada Sheriff's Department,2015,2,NA,NA,NA,NA,NA,NA,32332,5065,NA,NA,NA,Nevada County,06,057,06057
Orange Sheriff's Department,2015,2,23,50,30574,129986,6.8,14,675713,140781,41.4,1.3,45.3,Orange County,06,059,06059
Santa Ana Police Department,2015,2,NA,NA,NA,NA,49,3,125286,6520,94,NA,94,Orange County,06,059,06059
Placer Sheriff's Department,2015,2,NA,NA,930,4711,0,6,84669,8305,NA,NA,NA,Placer County,06,061,06061
Plumas Sheriff's Department,2015,2,0,0,82,498,0,0,19324,5121,15.2,12.8,23.7,Plumas County,06,063,06063
Riverside Sheriff's Department,2015,2,5,7,19330,191733,6.9,12,396731,205684,52.86,29.08,76.64,Riverside County,06,065,06065
Sacramento Sheriff's Department,2015,2,42,230,6446,62924,3,16,664861,133341,38,30,60,Sacramento County,06,067,06067
San Benito Sheriff's Department,2015,2,0,0,440,2190,0,1,18553,3631,30,7,77,San Benito County,06,069,06069
San Bernardino Sheriff's Department,2015,2,4,3,16348,206583,1.33,15,340196,82126,28.1,NA,NA,San Bernardino County,06,071,06071
San Diego Sheriff's Department,2015,2,192,742,17998,32862,1,24,1178446,229345,22.9,10.3,72.9,San Diego County,06,073,06073
San Diego Work Furlough,2015,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Francisco Sheriff's Department,2015,2,NA,NA,12440,4659,NA,37,598659,92346,23,11.3,79.1,San Francisco County,06,075,06075
San Joaquin Sheriff's Department,2015,2,16,15,NA,NA,0,NA,NA,NA,22,5,60,San Joaquin County,06,077,06077
San Luis Obispo Sheriff's Department,2015,2,NA,NA,1406,16903,NA,2,101402,29346,NA,NA,NA,San Luis Obispo County,06,079,06079
San Mateo Sheriff's Department,2015,2,52,236,4051,33842,0,2,NA,NA,41,25,65,San Mateo County,06,081,06081
Santa Barbara Sheriff's Department,2015,2,1,18,NA,NA,NA,13,50308,3941,18,13,21,Santa Barbara County,06,083,06083
Santa Clara Corrections Department,2015,2,43,NA,NA,NA,NA,2,184336,70764,31,47,101,Santa Clara County,06,085,06085
Santa Cruz Sheriff's Department,2015,2,NA,NA,2557,8771,3,12,39008,26916,NA,NA,NA,Santa Cruz County,06,087,06087
Shasta Sheriff's Department,2015,2,NA,NA,134,516,NA,0,24064,6557,NA,NA,NA,Shasta County,06,089,06089
Siskiyou Sheriff's Department,2015,2,3,3,278,1159,1,0,53233,35994,12,4,24,Siskiyou County,06,093,06093
Solano Sheriff's Department,2015,2,5,18,7e3,6e3,1,6,138351,49565,18.9,NA,NA,Solano County,06,095,06095
Sonoma Sheriff's Department,2015,2,1,9,1710,10986,0,3,579996,449107,24.8,9.2,49.2,Sonoma County,06,097,06097
Stanislaus Sheriff's Department,2015,2,34,NA,NA,NA,2,4,98290,9260,25,11,72,Stanislaus County,06,099,06099
Sutter Sheriff's Department,2015,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Sutter County,06,101,06101
Tehama Sheriff's Department,2015,2,NA,NA,NA,NA,15,0,37109,20240,20,NA,NA,Tehama County,06,103,06103
Trinity Sheriff's Department,2015,2,NA,NA,NA,NA,1,0,8251,2297,11,9,19,Trinity County,06,105,06105
Tulare Sheriff's Department,2015,2,NA,NA,NA,NA,NA,0,NA,NA,52.64,33.1,77.97,Tulare County,06,107,06107
Tuolumne Sheriff's Department,2015,2,1,1,458,1495,0,1,5224,1071,NA,NA,NA,Tuolumne County,06,109,06109
Ventura Sheriff's Department,2015,2,NA,NA,5720,18793,0.42000000000000004,9,188228,21313,NA,NA,NA,Ventura County,06,111,06111
Ventura Work Furlough,2015,2,NA,NA,NA,NA,0,0,0,0,36,NA,37,Ventura County,06,111,06111
Yolo Sheriff's Department,2015,2,0,0,663,4017,NA,3,53082,9553,NA,NA,NA,Yolo County,06,113,06113
Yuba Sheriff's Department,2015,2,NA,NA,298,719,45,3,42995,NA,NA,NA,NA,Yuba County,06,115,06115
Alameda Sheriff's Department,2015,1,56,713,1017,4157,4,22,983397,400780,NA,NA,NA,Alameda County,06,001,06001
Amador Sheriff's Department,2015,1,0,0,0,0,0,0,26964,1226,24.23,6.2700000000000005,57.75,Amador County,06,005,06005
Butte Sheriff's Department,2015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Butte County,06,007,06007
Calaveras Sheriff's Department,2015,1,NA,NA,172,2258,0,1,11929,1448,18,NA,NA,Calaveras County,06,009,06009
Colusa Sheriff's Department,2015,1,0,0,180,1475,6.493,0,9863,7339,11.674,7.407,29.087999999999997,Colusa County,06,011,06011
Contra Costa Sheriff's Department,2015,1,NA,NA,689,1347,5,15,144535,106887,NA,NA,NA,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,2015,1,NA,NA,326,1711,3,1,NA,NA,25.4,12.8,77.7,El Dorado County,06,017,06017
Fresno Sheriff's Department,2015,1,23,137,NA,NA,2.6,32,171375,42648,31.9,28,32.8,Fresno County,06,019,06019
Glenn Sheriff's Department,2015,1,0,0,211,4362,1,0,6870,1443,26,19,43,Glenn County,06,021,06021
Humboldt Sheriff's Department,2015,1,NA,NA,954,6291,0,6,28698.1,10077,12.3,6.2,37.5,Humboldt County,06,023,06023
Imperial Sheriff's Department,2015,1,NA,NA,1537,30069,NA,0,56162,5948,14,12,34,Imperial County,06,025,06025
Inyo Sheriff's Department,2015,1,NA,NA,70,325,3,0,24390,14652,25,3,61,Inyo County,06,027,06027
Kern Sheriff's Department,2015,1,350,280,6865,45305,3,3,141613,59932,28,17,63,Kern County,06,029,06029
Kings Sheriff's Department,2015,1,NA,NA,706,1920,10,0,65567,24985,NA,NA,NA,Kings County,06,031,06031
Lake Sheriff's Department,2015,1,NA,NA,322,2652,NA,NA,35799,20732,NA,NA,NA,Lake County,06,033,06033
Lassen Sheriff's Department,2015,1,NA,NA,165,1784,NA,0,42855,NA,NA,NA,NA,Lassen County,06,035,06035
Los Angeles Sheriff's Department,2015,1,NA,NA,64129,301634,21,62,4727472,686449,68.3,6.3,70.4,Los Angeles County,06,037,06037
Madera Corrections Department,2015,1,NA,NA,NA,NA,6,3,35505,10360,45,7,96,Madera County,06,039,06039
Marin Sheriff's Department,2015,1,0,8,411,600,20,4,31715,22279,17.5,12.9,33.3,Marin County,06,041,06041
Mariposa Sheriff's Department,2015,1,0,0,82,1042,0,0,13105,9876,17.3,12.1,36,Mariposa County,06,043,06043
Mendocino Sheriff's Department,2015,1,NA,NA,454,3947,6,8,34254,11703,NA,NA,NA,Mendocino County,06,045,06045
Merced Sheriff's Department,2015,1,NA,NA,3841,7612,1,3,22491,16246,31.8,18.6,48.9,Merced County,06,047,06047
Modoc Sheriff's Department,2015,1,2,1,80,192,1,1,5850,NA,NA,NA,NA,Modoc County,06,049,06049
Mono Sheriff's Department,2015,1,0,1,152,3711,1,0,NA,NA,NA,NA,NA,Mono County,06,051,06051
Monterey Sheriff's Department,2015,1,NA,NA,2565,5540,NA,8,116292,38900,NA,NA,NA,Monterey County,06,053,06053
Napa Corrections Department,2015,1,2,NA,1030,4177,0,1,29587,16331,18,10,33,Napa County,06,055,06055
Nevada Sheriff's Department,2015,1,NA,NA,NA,NA,NA,NA,31340,9563,NA,NA,NA,Nevada County,06,057,06057
Orange Sheriff's Department,2015,1,26,45,30801,126401,7.1,8,726766,171901,45.6,1.3,50,Orange County,06,059,06059
Santa Ana Police Department,2015,1,NA,NA,NA,NA,45.01,0,133692,2933,15.02,NA,15.02,Orange County,06,059,06059
Placer Sheriff's Department,2015,1,NA,NA,1005,4750,0,4,78075,7959,NA,NA,NA,Placer County,06,061,06061
Plumas Sheriff's Department,2015,1,0,0,82,488,1.9,0,8513,1271,14.1,14.9,12.4,Plumas County,06,063,06063
Riverside Sheriff's Department,2015,1,5,5,19526,189318,6.609999999999999,15,358021,257331,51.47,25.02,77.93,Riverside County,06,065,06065
Sacramento Sheriff's Department,2015,1,52,377,5502,49700,3,20,751497,242079,34.4,19.1,72.2,Sacramento County,06,067,06067
San Benito Sheriff's Department,2015,1,0,0,476,1219,0,0,14910,8120,26,6,76,San Benito County,06,069,06069
San Bernardino Sheriff's Department,2015,1,4,14,16377,206189,1.7,22,147495,28025,31,NA,NA,San Bernardino County,06,071,06071
San Diego Sheriff's Department,2015,1,191,714,18164,32963,1,20,1139570,229980,24.3,11,76.5,San Diego County,06,073,06073
San Diego Work Furlough,2015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Francisco Sheriff's Department,2015,1,NA,NA,12407,4827,NA,28,759340,69561,24.9,12,101.2,San Francisco County,06,075,06075
San Joaquin Sheriff's Department,2015,1,11,12,NA,NA,0,NA,NA,NA,68,5,63,San Joaquin County,06,077,06077
San Luis Obispo Sheriff's Department,2015,1,NA,NA,1496,16731,NA,0,134926,42197,NA,NA,NA,San Luis Obispo County,06,079,06079
San Mateo Sheriff's Department,2015,1,38,228,4028,33597,0,2,NA,NA,37,22,72,San Mateo County,06,081,06081
Santa Barbara Sheriff's Department,2015,1,1,23,NA,NA,NA,12,68733,14438,17,13,20,Santa Barbara County,06,083,06083
Santa Clara Corrections Department,2015,1,47,NA,NA,NA,NA,2,313632,75339,32,46,121,Santa Clara County,06,085,06085
Santa Cruz Sheriff's Department,2015,1,NA,NA,2591,8582,1,1,58149,28701,NA,NA,NA,Santa Cruz County,06,087,06087
Shasta Sheriff's Department,2015,1,NA,NA,47,427,NA,1,39259,10019,NA,NA,NA,Shasta County,06,089,06089
Sierra Sheriff's Department,2015,1,0,0,35,775,0,0,128,46,2,1,1,Sierra County,06,091,06091
Siskiyou Sheriff's Department,2015,1,3,4,277,1194,1,0,52615,25297,10,6,24,Siskiyou County,06,093,06093
Solano Sheriff's Department,2015,1,2,21,7e3,6e3,1,15,122248,58442,19,NA,NA,Solano County,06,095,06095
Sonoma Sheriff's Department,2015,1,3,15,1715,11218,0,5,414949,304465,23.7,4.6,57.4,Sonoma County,06,097,06097
Stanislaus Sheriff's Department,2015,1,41,NA,NA,NA,2,0,124932,15327,26,11,84,Stanislaus County,06,099,06099
Sutter Sheriff's Department,2015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sutter County,06,101,06101
Tehama Sheriff's Department,2015,1,NA,NA,NA,NA,15,1,18372,11315,18.8,NA,NA,Tehama County,06,103,06103
Trinity Sheriff's Department,2015,1,NA,NA,NA,NA,0,0,7874,2040,18,14,21,Trinity County,06,105,06105
Tulare Sheriff's Department,2015,1,NA,NA,NA,NA,NA,0,NA,NA,65.52,42.690000000000005,95.49000000000001,Tulare County,06,107,06107
Tuolumne Sheriff's Department,2015,1,0,0,466,1483,0,0,10218,3017,NA,NA,NA,Tuolumne County,06,109,06109
Ventura Sheriff's Department,2015,1,NA,NA,5820,18544,1,37,200530,42457,NA,NA,NA,Ventura County,06,111,06111
Ventura Work Furlough,2015,1,NA,NA,NA,NA,0,0,0,0,40,NA,41,Ventura County,06,111,06111
Yolo Sheriff's Department,2015,1,2,3,674,3962,NA,4,36714,7463,NA,NA,NA,Yolo County,06,113,06113
Yuba Sheriff's Department,2015,1,NA,NA,308,802,45,3,39475,NA,NA,NA,NA,Yuba County,06,115,06115
Alameda Sheriff's Department,2014,4,46,636,4467,11023,6,20,1140408,492106,NA,NA,NA,Alameda County,06,001,06001
Amador Sheriff's Department,2014,4,0,0,0,0,0,0,29199,1416,15.41,3.18,64.54,Amador County,06,005,06005
Butte Sheriff's Department,2014,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Butte County,06,007,06007
Calaveras Sheriff's Department,2014,4,NA,NA,182,2211,0,0,17144,4622,15,NA,NA,Calaveras County,06,009,06009
Colusa Sheriff's Department,2014,4,0,0,189,1443,4.938000000000001,0,15673,12311,13.08,8.813,25.231,Colusa County,06,011,06011
Contra Costa Sheriff's Department,2014,4,NA,NA,610,1375,5,9,326112,101225,NA,NA,NA,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,2014,4,NA,NA,321,1989,0.1,1,NA,NA,24.3,10.1,76.7,El Dorado County,06,017,06017
Fresno Sheriff's Department,2014,4,31,127,NA,NA,9,43,170400,25039,32.9,19.5,18,Fresno County,06,019,06019
Glenn Sheriff's Department,2014,4,0,0,221,4373,3,0,6871,1193,25,15,48,Glenn County,06,021,06021
Humboldt Sheriff's Department,2014,4,NA,NA,964,6367,0,1,41258.06,18032,15.3,6.9,50.1,Humboldt County,06,023,06023
Imperial Sheriff's Department,2014,4,NA,NA,1534,30100,NA,0,57098,5293,15,13,43,Imperial County,06,025,06025
Inyo Sheriff's Department,2014,4,NA,NA,70,325,NA,1,24357,13314,24,3,53,Inyo County,06,027,06027
Kern Sheriff's Department,2014,4,403,195,6935,44992,2,2,125395,60854,27,18,59,Kern County,06,029,06029
Kings Sheriff's Department,2014,4,NA,NA,727,1989,10,0,NA,NA,NA,NA,NA,Kings County,06,031,06031
Lake Sheriff's Department,2014,4,NA,NA,302,2171,NA,NA,45478,14564,NA,NA,NA,Lake County,06,033,06033
Lassen Sheriff's Department,2014,4,NA,NA,130,1550,NA,0,38848,NA,NA,NA,NA,Lassen County,06,035,06035
Los Angeles Sheriff's Department,2014,4,NA,NA,64261,301112,21,58,5293022,563052,66.42,8.6,68.08,Los Angeles County,06,037,06037
Madera Corrections Department,2014,4,NA,NA,NA,NA,6,1,31461,4009,44,5,83,Madera County,06,039,06039
Marin Sheriff's Department,2014,4,0,2,407,567,16,0,40640,21676,17,11,41,Marin County,06,041,06041
Mariposa Sheriff's Department,2014,4,0,0,88,1124,0,0,14596,10505,20.5,9,58.9,Mariposa County,06,043,06043
Mendocino Sheriff's Department,2014,4,6,NA,464,4069,10,3,29777,7277,8,5,NA,Mendocino County,06,045,06045
Merced Sheriff's Department,2014,4,NA,NA,3884,8108,1,0,48710,19764,35.3,22.4,54.4,Merced County,06,047,06047
Modoc Sheriff's Department,2014,4,2,1,79,189,1,1,6933,NA,NA,NA,NA,Modoc County,06,049,06049
Mono Sheriff's Department,2014,4,0,1,148,3714,2,0,NA,NA,NA,NA,NA,Mono County,06,051,06051
Monterey Sheriff's Department,2014,4,NA,NA,2846,6447,NA,12,86605,26957,NA,NA,NA,Monterey County,06,053,06053
Napa Corrections Department,2014,4,1,NA,NA,NA,0,3,47018,26932,18,12,36,Napa County,06,055,06055
Nevada Sheriff's Department,2014,4,NA,NA,NA,NA,NA,NA,22776,5971,NA,NA,NA,Nevada County,06,057,06057
Orange Sheriff's Department,2014,4,30,53,31138,125721,7.4,14,746258,203426,49,1.2,53,Orange County,06,059,06059
Santa Ana Police Department,2014,4,NA,NA,NA,NA,37.6,0,NA,NA,31,NA,31,Orange County,06,059,06059
Placer Sheriff's Department,2014,4,NA,NA,1099,4843,0,5,78386,34170,NA,NA,NA,Placer County,06,061,06061
Plumas Sheriff's Department,2014,4,0,0,88,487,0,0,6861,2022,16.8,NA,NA,Plumas County,06,063,06063
Riverside Sheriff's Department,2014,4,6,4,19954,187982,6.6,12,343578,215002,42.1,25.6,58.6,Riverside County,06,065,06065
Sacramento Sheriff's Department,2014,4,36,211,6438,67601,7,34,852991,306028,36,27,59,Sacramento County,06,067,06067
San Benito Sheriff's Department,2014,4,0,0,476,1219,0,0,15102,9560,32,12,74,San Benito County,06,069,06069
San Bernardino Sheriff's Department,2014,4,4,3,16439,204257,2,13,348637,92292,37,NA,NA,San Bernardino County,06,071,06071
San Diego Sheriff's Department,2014,4,197,733,18102,32814,2,15,1124806,232214,27,13.6,71.2,San Diego County,06,073,06073
San Diego Work Furlough,2014,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Francisco Sheriff's Department,2014,4,NA,NA,37257,14280,NA,46,476130,87554,12.2,11.4,76,San Francisco County,06,075,06075
San Joaquin Sheriff's Department,2014,4,12,11,NA,NA,0,NA,NA,NA,71,6,65,San Joaquin County,06,077,06077
San Luis Obispo Sheriff's Department,2014,4,NA,NA,1559,16864,NA,2,141208,43700,NA,NA,NA,San Luis Obispo County,06,079,06079
San Mateo Sheriff's Department,2014,4,51,309,4102,33468,0,7,NA,NA,33,19,81,San Mateo County,06,081,06081
Santa Barbara Sheriff's Department,2014,4,3,30,NA,NA,NA,7,35373,19379,18,13,21,Santa Barbara County,06,083,06083
Santa Clara Corrections Department,2014,4,53,NA,NA,NA,NA,4,160936,75092,34,41,112,Santa Clara County,06,085,06085
Santa Cruz Sheriff's Department,2014,4,NA,NA,2550,8230,7,6,31832,30059,NA,NA,NA,Santa Cruz County,06,087,06087
Shasta Sheriff's Department,2014,4,NA,NA,61,307,NA,0,44741,21680,NA,NA,NA,Shasta County,06,089,06089
Sierra Sheriff's Department,2014,4,0,0,36,772,0,0,443,0,8,2,6,Sierra County,06,091,06091
Siskiyou Sheriff's Department,2014,4,3,2,309,1384,1,0,52883,25632,18,4,33,Siskiyou County,06,093,06093
Solano Sheriff's Department,2014,4,1,15,7e3,6e3,1,8,121455,59561,21,NA,NA,Solano County,06,095,06095
Sonoma Sheriff's Department,2014,4,7,12,1895,11418,0,17,423776,299064,26.2,5.3,58.2,Sonoma County,06,097,06097
Stanislaus Sheriff's Department,2014,4,32,NA,NA,NA,3,2,161615,14632,19,13,46,Stanislaus County,06,099,06099
Sutter Sheriff's Department,2014,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sutter County,06,101,06101
Tehama Sheriff's Department,2014,4,NA,NA,NA,NA,15,0,24513,11805,16.310000000000002,NA,NA,Tehama County,06,103,06103
Trinity Sheriff's Department,2014,4,NA,NA,NA,NA,0,0,10959,3422,28,11,90,Trinity County,06,105,06105
Tulare Sheriff's Department,2014,4,NA,NA,NA,NA,NA,0,NA,NA,56.18,37.63,81.94000000000001,Tulare County,06,107,06107
Tuolumne Sheriff's Department,2014,4,2,2,482,1495,0,1,15640,5850,NA,NA,NA,Tuolumne County,06,109,06109
Ventura Sheriff's Department,2014,4,NA,NA,6178,47497,7,6,185010,32216,NA,NA,NA,Ventura County,06,111,06111
Ventura Work Furlough,2014,4,NA,NA,NA,NA,0,0,0,0,48,NA,50,Ventura County,06,111,06111
Yolo Sheriff's Department,2014,4,4,5,714,3861,NA,1,54233,11259,NA,NA,NA,Yolo County,06,113,06113
Yuba Sheriff's Department,2014,4,NA,NA,295,807,50,3,33927,NA,NA,NA,NA,Yuba County,06,115,06115
Alameda Sheriff's Department,2014,3,44,696,4254,10963,7,23,1035407,614734,NA,NA,NA,Alameda County,06,001,06001
Amador Sheriff's Department,2014,3,0,0,0,0,0,0,26865,1003,20.04,8.01,52.260000000000005,Amador County,06,005,06005
Butte Sheriff's Department,2014,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Butte County,06,007,06007
Calaveras Sheriff's Department,2014,3,NA,NA,188,2212,0,0,9242,4498,14,NA,NA,Calaveras County,06,009,06009
Colusa Sheriff's Department,2014,3,0,0,183,1379,5.797,0,7619,4256,11.360000000000001,6.805,22.224,Colusa County,06,011,06011
Contra Costa Sheriff's Department,2014,3,NA,NA,605,1425,5,21,319802,122183,NA,NA,NA,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,2014,3,NA,NA,333,1701,1,0,NA,NA,19.2,9.2,70.6,El Dorado County,06,017,06017
Fresno Sheriff's Department,2014,3,27,127,NA,NA,8,44,250747,27362,27.4,19.6,20.1,Fresno County,06,019,06019
Glenn Sheriff's Department,2014,3,0,0,225,4473,3,2,5287,1046,25,17,41,Glenn County,06,021,06021
Humboldt Sheriff's Department,2014,3,NA,NA,1157,6385,1,0,47442.09,15247,13.1,4.4,53.7,Humboldt County,06,023,06023
Imperial Sheriff's Department,2014,3,NA,NA,1547,30232,NA,0,64203,7152,13,12,35,Imperial County,06,025,06025
Inyo Sheriff's Department,2014,3,NA,NA,65,294,5,3,21125,9918,28,4,61,Inyo County,06,027,06027
Kern Sheriff's Department,2014,3,188,254,6830,44135,4,7,118417,71580,23,16,53,Kern County,06,029,06029
Kings Sheriff's Department,2014,3,NA,NA,695,1763,7,0,55551,14619,NA,NA,NA,Kings County,06,031,06031
Lake Sheriff's Department,2014,3,NA,NA,302,2666,NA,NA,87123,28945,NA,NA,NA,Lake County,06,033,06033
Lassen Sheriff's Department,2014,3,NA,NA,135,1623,NA,0,58348,NA,NA,NA,NA,Lassen County,06,035,06035
Los Angeles Sheriff's Department,2014,3,NA,NA,64147,297332,21,79,5579741,670231,61.25,5.67,62.809999999999995,Los Angeles County,06,037,06037
Madera Corrections Department,2014,3,NA,NA,NA,NA,9,5,60918,4810,41,7,88,Madera County,06,039,06039
Marin Sheriff's Department,2014,3,0,2,398,599,18,0,39699,16681,19,14,39,Marin County,06,041,06041
Mariposa Sheriff's Department,2014,3,0,0,95,1088,2,0,16122,9583,19.3,9.8,43.8,Mariposa County,06,043,06043
Mendocino Sheriff's Department,2014,3,11,NA,420,3698,10,2,24130,5934,6,NA,NA,Mendocino County,06,045,06045
