jurisdiction,facility,year,month,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_facility,census_county_name,fips_state_code,fips_county_code,fips_state_county_code
Santa Cruz Sheriff's Department,Santa Cruz Rountree Medium,2012,2,36,0,60,0,96,Santa Cruz County,06,087,06087
Shasta Sheriff's Department,Shasta County Main Jail,2012,2,156,20,46,11,233,Shasta County,06,089,06089
Sierra Sheriff's Department,Sierra County Jail,2012,2,0,0,2,0,2,Sierra County,06,091,06091
Siskiyou Sheriff's Department,Siskiyou County Jail,2012,2,64,5,20,2,91,Siskiyou County,06,093,06093
Solano Sheriff's Department,Claybank Facility,2012,2,101,0,51,0,152,Solano County,06,095,06095
Solano Sheriff's Department,Solano County Justice Center,2012,2,426,80,143,30,679,Solano County,06,095,06095
Sonoma Sheriff's Department,North County Detention Facility,2012,2,70,0,233,0,303,Sonoma County,06,097,06097
Sonoma Sheriff's Department,Sonoma County Main Adult Detention,2012,2,372,61,251,65,749,Sonoma County,06,097,06097
Stanislaus Sheriff's Department,Stanislaus Co. Public Safety Center,2012,2,437,85,120,56,698,Stanislaus County,06,099,06099
Stanislaus Sheriff's Department,Stanislaus County Honor Farm,2012,2,57,0,28,0,85,Stanislaus County,06,099,06099
Stanislaus Sheriff's Department,Stanislaus County Jail,2012,2,328,0,50,0,378,Stanislaus County,06,099,06099
Sutter Sheriff's Department,Sutter County Jail,2012,2,139,17,32,10,198,Sutter County,06,101,06101
Tehama Sheriff's Department,Tehama County Jail,2012,2,92,16,64,5,177,Tehama County,06,103,06103
Trinity Sheriff's Department,Trinity County Jail,2012,2,16,2,33,5,56,Trinity County,06,105,06105
Tulare Sheriff's Department,Bob Wiley Detention Center,2012,2,288,72,242,92,694,Tulare County,06,107,06107
Tulare Sheriff's Department,Mens Correctional Facility,2012,2,99,0,199,0,298,Tulare County,06,107,06107
Tulare Sheriff's Department,Tulare Co. Adult Pre-Trial Facility,2012,2,128,14,121,37,300,Tulare County,06,107,06107
Tulare Sheriff's Department,Tulare County Jail,2012,2,196,0,62,0,258,Tulare County,06,107,06107
Tuolumne Sheriff's Department,Tuolumne County Jail,2012,2,54,14,36,16,120,Tuolumne County,06,109,06109
Ventura Sheriff's Department,Ventura County Main Jail,2012,2,517,8,185,3,713,Ventura County,06,111,06111
Ventura Sheriff's Department,Ventura County Todd Road,2012,2,328,104,177,75,684,Ventura County,06,111,06111
Ventura Work Furlough,Ventura County Work Furlough,2012,2,0,0,77,12,89,Ventura County,06,111,06111
Yolo Sheriff's Department,Leinberger Center,2012,2,51,0,63,0,114,Yolo County,06,113,06113
Yolo Sheriff's Department,Monroe Detention Center,2012,2,174,30,68,19,291,Yolo County,06,113,06113
Yuba Sheriff's Department,Yuba County Jail,2012,2,285,53,73,6,417,Yuba County,06,115,06115
Alameda Sheriff's Department,Glenn E. Dyer Jail,2012,1,375,5,63,0,443,Alameda County,06,001,06001
Alameda Sheriff's Department,Santa Rita Jail,2012,1,1830,193,725,79,2827,Alameda County,06,001,06001
Amador Sheriff's Department,Amador County Jail,2012,1,54,9,33,9,105,Amador County,06,005,06005
Butte Sheriff's Department,Butte County Jail,2012,1,394,37,133,25,589,Butte County,06,007,06007
Calaveras Sheriff's Department,Calaveras County Jail,2012,1,34,11,18,0,63,Calaveras County,06,009,06009
Colusa Sheriff's Department,Colusa County Jail,2012,1,30,12,20,2,64,Colusa County,06,011,06011
Contra Costa Sheriff's Department,Contra Costa Main Jail (Martinez Det Fac),2012,1,472,3,164,0,639,Contra Costa County,06,013,06013
Contra Costa Sheriff's Department,Marsh Creek Detention Facility,2012,1,0,0,60,0,60,Contra Costa County,06,013,06013
Contra Costa Sheriff's Department,West County Detention Facility,2012,1,418,133,188,32,771,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,El Dorado County Jail,2012,1,109,15,111,23,258,El Dorado County,06,017,06017
El Dorado Sheriff's Department,South Lake Tahoe Jail,2012,1,39,6,52,1,98,El Dorado County,06,017,06017
Fresno Sheriff's Department,Fresno County Main Jail,2012,1,760,12,285,4,1061,Fresno County,06,019,06019
Fresno Sheriff's Department,Fresno North Annex  Jail,2012,1,592,0,251,0,843,Fresno County,06,019,06019
Fresno Sheriff's Department,Fresno South Annex Jail,2012,1,102,170,48,126,446,Fresno County,06,019,06019
Glenn Sheriff's Department,Glenn County Adult Detention Facility,2012,1,56,8,20,2,86,Glenn County,06,021,06021
Humboldt Sheriff's Department,Humboldt County Jail,2012,1,238,40,107,10,395,Humboldt County,06,023,06023
Imperial Sheriff's Department,Herbert Hughes Corr. Center,2012,1,129,12,3,0,144,Imperial County,06,025,06025
Imperial Sheriff's Department,Imperial Co (Adult Regional Det) Fac,2012,1,151,26,96,15,288,Imperial County,06,025,06025
Inyo Sheriff's Department,Inyo County Jail,2012,1,25,6,24,4,59,Inyo County,06,027,06027
Kern Sheriff's Department,Central Receiving Facility,2012,1,105,23,18,5,151,Kern County,06,029,06029
Kern Sheriff's Department,Lerdo Maximum,2012,1,268,0,100,0,368,Kern County,06,029,06029
Kern Sheriff's Department,Lerdo Minimum,2012,1,398,24,325,69,816,Kern County,06,029,06029
Kern Sheriff's Department,Lerdo Pretrial Facility,2012,1,889,114,132,34,1169,Kern County,06,029,06029
Kings Sheriff's Department,Kings County Jail,2012,1,230,24,157,37,448,Kings County,06,031,06031
Lake Sheriff's Department,Lake County Hill Road Facility,2012,1,144,15,101,33,293,Lake County,06,033,06033
Lassen Sheriff's Department,Lassen Adult Detention Facility,2012,1,37.41,14.75,29.77,5.48,87,Lassen County,06,035,06035
Los Angeles Sheriff's Department,Century Regional Detention Center,2012,1,0,895,0,948,1843,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,Los Angeles Central Jail,2012,1,2766,0,1641,0,4407,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,North County Correctional Facility,2012,1,2395,0,1356,0,3751,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,Peter Pitchess East Facility,2012,1,1193,0,503,0,1696,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,Peter Pitchess North Facility,2012,1,2,0,1,0,3,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,Peter Pitchess South Facility,2012,1,300,0,709,0,1009,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,Twin Towers Correctional Facility,2012,1,1988,21,1069,8,3086,Los Angeles County,06,037,06037
Madera Corrections Department,Madera Adult Correctional Facility,2012,1,246,34,106,14,400,Madera County,06,039,06039
Marin Sheriff's Department,Marin County Jail,2012,1,187,27,48,15,277,Marin County,06,041,06041
Mariposa Sheriff's Department,Mariposa County Adult Det. Facility,2012,1,14,2,16,5,37,Mariposa County,06,043,06043
Mendocino Sheriff's Department,Mendocino Adult Detention Facility,2012,1,131,20,66,16,233,Mendocino County,06,045,06045
Merced Sheriff's Department,John Latorraca Corr Fac,2012,1,297,52,84,11,444,Merced County,06,047,06047
Merced Sheriff's Department,Merced County Jail,2012,1,149,0,29,0,178,Merced County,06,047,06047
Modoc Sheriff's Department,Modoc County Jail,2012,1,8,3,9,2,22,Modoc County,06,049,06049
Mono Sheriff's Department,Mono County Jail,2012,1,6,2,12,1,21,Mono County,06,051,06051
Monterey Sheriff's Department,Monterey County Jail,2012,1,460,91,86,49,686,Monterey County,06,053,06053
Monterey Sheriff's Department,Monterey County Rehabilitation,2012,1,201,0,142,0,343,Monterey County,06,053,06053
Napa Corrections Department,Napa County Jail,2012,1,159,15,77,11,262,Napa County,06,055,06055
Nevada Sheriff's Department,Wayne Brown Correctional Facility,2012,1,88,15,72,11,186,Nevada County,06,057,06057
Orange Sheriff's Department,Intake Release Center,2012,1,124,282,45,281,732,Orange County,06,059,06059
Orange Sheriff's Department,James A Musick Facility,2012,1,267,34,713,128,1142,Orange County,06,059,06059
Orange Sheriff's Department,Orange County Mens Jail,2012,1,732,0,441,0,1173,Orange County,06,059,06059
Orange Sheriff's Department,Theo Lacy Facility,2012,1,1571,0,1301,0,2872,Orange County,06,059,06059
Santa Ana Police Department,Santa Ana Jail,2012,1,370,77,4,0,451,Orange County,06,059,06059
Placer Sheriff's Department,Placer County Main Jail,2012,1,310,41,57,10,418,Placer County,06,061,06061
Placer Sheriff's Department,Placer County Minimum Security,2012,1,6,3,104,22,135,Placer County,06,061,06061
Plumas Sheriff's Department,Plumas County Jail,2012,1,12,6,13,4,35,Plumas County,06,063,06063
Riverside Sheriff's Department,Blythe Jail,2012,1,41,0,29,0,70,Riverside County,06,065,06065
Riverside Sheriff's Department,Indio Jail,2012,1,247,36,56,9,348,Riverside County,06,065,06065
Riverside Sheriff's Department,Larry D Smith Correctional Facility,2012,1,724,117,503,163,1507,Riverside County,06,065,06065
Riverside Sheriff's Department,Robert Presley Detention Center,2012,1,537,112,131,44,824,Riverside County,06,065,06065
Riverside Sheriff's Department,Southwest County Detention Center,2012,1,769,3,335,1,1108,Riverside County,06,065,06065
Sacramento Sheriff's Department,Rio Cosumnes Correctional Center,2012,1,348,0,1588,0,1936,Sacramento County,06,067,06067
Sacramento Sheriff's Department,Rio Cosumnes- Womens Facility,2012,1,0,7,0,224,231,Sacramento County,06,067,06067
Sacramento Sheriff's Department,Sacramento County Main Jail,2012,1,1745,134,186,82,2147,Sacramento County,06,067,06067
San Benito Sheriff's Department,San Benito Adult Detention,2012,1,71,14,41,6,132,San Benito County,06,069,06069
San Bernardino Sheriff's Department,San Bernardino Central Detention Center,2012,1,867,0,133,0,1e3,San Bernardino County,06,071,06071
San Bernardino Sheriff's Department,San Bernardino County- Glen Helen,2012,1,247,172,529,134,1082,San Bernardino County,06,071,06071
San Bernardino Sheriff's Department,San Bernardino High Desert Detention Center,2012,1,293,0,46,0,339,San Bernardino County,06,071,06071
San Bernardino Sheriff's Department,West Valley Detention Center,2012,1,2211,327,364,37,2939,San Bernardino County,06,071,06071
San Diego Sheriff's Department,East Mesa Detention Facility,2012,1,86,0,326,0,412,San Diego County,06,073,06073
San Diego Sheriff's Department,George Bailey Detention Facility,2012,1,960,0,693,0,1653,San Diego County,06,073,06073
San Diego Sheriff's Department,Las Colinas Womens Detention,2012,1,0,353,0,318,671,San Diego County,06,073,06073
San Diego Sheriff's Department,San Diego Central Detention,2012,1,563,0,210,0,773,San Diego County,06,073,06073
San Diego Sheriff's Department,San Diego Facility #8,2012,1,101,0,111,0,212,San Diego County,06,073,06073
San Diego Sheriff's Department,South Bay Regional Facility- Chula Vista,2012,1,265,0,153,0,418,San Diego County,06,073,06073
San Diego Sheriff's Department,Vista Facility,2012,1,494,45,201,15,755,San Diego County,06,073,06073
San Diego Work Furlough,Wk. Furlough/Corr. Alternative,2012,1,0,1,146,43,190,San Diego County,06,073,06073
San Francisco Sheriff's Department,San Francisco County Jail #2,2012,1,102,118,9,36,265,San Francisco County,06,075,06075
San Francisco Sheriff's Department,San Francisco County Jail #3,2012,1,233,0,32,0,265,San Francisco County,06,075,06075
San Francisco Sheriff's Department,San Francisco County Jail #4,2012,1,286,0,38,0,324,San Francisco County,06,075,06075
San Francisco Sheriff's Department,San Francisco County Jail #5,2012,1,567,0,122,0,689,San Francisco County,06,075,06075
San Francisco Sheriff's Department,San Francisco County Jail #6,2012,1,0,0,0,0,0,San Francisco County,06,075,06075
San Joaquin Sheriff's Department,San Joaquin Honor Farm,2012,1,11,0,190,36,237,San Joaquin County,06,077,06077
San Joaquin Sheriff's Department,San Joaquin Main (J. Zunino) Jail,2012,1,729,74,148,24,975,San Joaquin County,06,077,06077
San Luis Obispo Sheriff's Department,San Luis Obispo County Jail,2012,1,278,53,175,47,553,San Luis Obispo County,06,079,06079
San Luis Obispo Sheriff's Department,San Luis Obispo Honor Farm,2012,1,0,0,65,0,65,San Luis Obispo County,06,079,06079
San Mateo Sheriff's Department,Maguire Facility,2012,1,547,4,260,2,813,San Mateo County,06,081,06081
San Mateo Sheriff's Department,Minimum Security Transitional Fac.,2012,1,0,0,21,0,21,San Mateo County,06,081,06081
San Mateo Sheriff's Department,Womens Correctional Center,2012,1,0,60,0,38,98,San Mateo County,06,081,06081
San Mateo Sheriff's Department,Womens Transitional Fac,2012,1,0,0,0,11,11,San Mateo County,06,081,06081
Santa Barbara Sheriff's Department,Santa Barbara County Main Jail,2012,1,465,62,162,24,713,Santa Barbara County,06,083,06083
Santa Barbara Sheriff's Department,Santa Barbara Medium Security Facility,2012,1,104,28,82,10,224,Santa Barbara County,06,083,06083
Santa Barbara Sheriff's Department,Santa Maria Branch Jail,2012,1,0,0,0,0,0,Santa Barbara County,06,083,06083
Santa Clara Corrections Department,Elmwood Complex - Women's Fac,2012,1,0,288,0,143,431,Santa Clara County,06,085,06085
Santa Clara Corrections Department,Elmwood Complex-Mens' Fac,2012,1,1088,0,651,0,1739,Santa Clara County,06,085,06085
Santa Clara Corrections Department,Santa Clara County Main Jail,2012,1,1104,0,200,0,1304,Santa Clara County,06,085,06085
Santa Cruz Sheriff's Department,Santa Cruz Blaine Womens Minimum,2012,1,0,0,0,10,10,Santa Cruz County,06,087,06087
Santa Cruz Sheriff's Department,Santa Cruz Main Jail (Water Street),2012,1,183,14,74,10,281,Santa Cruz County,06,087,06087
Santa Cruz Sheriff's Department,Santa Cruz Rountree Lane Minimum,2012,1,0,0,0,0,0,Santa Cruz County,06,087,06087
Santa Cruz Sheriff's Department,Santa Cruz Rountree Medium,2012,1,36,0,56,0,92,Santa Cruz County,06,087,06087
Shasta Sheriff's Department,Shasta County Main Jail,2012,1,154,20,49,10,233,Shasta County,06,089,06089
Sierra Sheriff's Department,Sierra County Jail,2012,1,1,0,2,1,4,Sierra County,06,091,06091
Siskiyou Sheriff's Department,Siskiyou County Jail,2012,1,61,6,19,2,88,Siskiyou County,06,093,06093
Solano Sheriff's Department,Claybank Facility,2012,1,97,0,52,0,149,Solano County,06,095,06095
Solano Sheriff's Department,Solano County Justice Center,2012,1,416,69,156,29,670,Solano County,06,095,06095
Sonoma Sheriff's Department,North County Detention Facility,2012,1,71,0,225,0,296,Sonoma County,06,097,06097
Sonoma Sheriff's Department,Sonoma County Main Adult Detention,2012,1,366,59,215,55,695,Sonoma County,06,097,06097
Stanislaus Sheriff's Department,Stanislaus Co. Public Safety Center,2012,1,423,83,132,49,687,Stanislaus County,06,099,06099
Stanislaus Sheriff's Department,Stanislaus County Honor Farm,2012,1,60,0,25,0,85,Stanislaus County,06,099,06099
Stanislaus Sheriff's Department,Stanislaus County Jail,2012,1,310,0,61,0,371,Stanislaus County,06,099,06099
Sutter Sheriff's Department,Sutter County Jail,2012,1,128,17,26,7,178,Sutter County,06,101,06101
Tehama Sheriff's Department,Tehama County Jail,2012,1,108,18,53,6,185,Tehama County,06,103,06103
Trinity Sheriff's Department,Trinity County Jail,2012,1,13,1,35,7,56,Trinity County,06,105,06105
Tulare Sheriff's Department,Bob Wiley Detention Center,2012,1,282,76,244,87,689,Tulare County,06,107,06107
Tulare Sheriff's Department,Mens Correctional Facility,2012,1,89,0,202,0,291,Tulare County,06,107,06107
Tulare Sheriff's Department,Tulare Co. Adult Pre-Trial Facility,2012,1,125,16,115,32,288,Tulare County,06,107,06107
Tulare Sheriff's Department,Tulare County Jail,2012,1,199,0,54,0,253,Tulare County,06,107,06107
Tuolumne Sheriff's Department,Tuolumne County Jail,2012,1,48,13,42,16,119,Tuolumne County,06,109,06109
Ventura Sheriff's Department,Ventura County Main Jail,2012,1,506,7,182,2,697,Ventura County,06,111,06111
Ventura Sheriff's Department,Ventura County Todd Road,2012,1,315,101,167,71,654,Ventura County,06,111,06111
Ventura Work Furlough,Ventura County Work Furlough,2012,1,0,0,53,9,62,Ventura County,06,111,06111
Yolo Sheriff's Department,Leinberger Center,2012,1,50,0,61,0,111,Yolo County,06,113,06113
Yolo Sheriff's Department,Monroe Detention Center,2012,1,186,17,64,33,300,Yolo County,06,113,06113
Yuba Sheriff's Department,Yuba County Jail,2012,1,275,57,73,9,414,Yuba County,06,115,06115
Alameda Sheriff's Department,Glenn E. Dyer Jail,2011,12,354,3,48,0,405,Alameda County,06,001,06001
Alameda Sheriff's Department,Santa Rita Jail,2011,12,1926,175,743,80,2924,Alameda County,06,001,06001
Amador Sheriff's Department,Amador County Jail,2011,12,55,7,28,9,99,Amador County,06,005,06005
Butte Sheriff's Department,Butte County Jail,2011,12,399,32,128,29,588,Butte County,06,007,06007
Calaveras Sheriff's Department,Calaveras County Jail,2011,12,26,7,31,7,71,Calaveras County,06,009,06009
Colusa Sheriff's Department,Colusa County Jail,2011,12,32,6,18,2,58,Colusa County,06,011,06011
Contra Costa Sheriff's Department,Contra Costa Main Jail (Martinez Det Fac),2011,12,465,3,158,0,626,Contra Costa County,06,013,06013
Contra Costa Sheriff's Department,Marsh Creek Detention Facility,2011,12,0,0,64,0,64,Contra Costa County,06,013,06013
Contra Costa Sheriff's Department,West County Detention Facility,2011,12,358,131,143,29,661,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,El Dorado County Jail,2011,12,94,12,101,23,230,El Dorado County,06,017,06017
El Dorado Sheriff's Department,South Lake Tahoe Jail,2011,12,33,1,55,5,94,El Dorado County,06,017,06017
Fresno Sheriff's Department,Fresno County Main Jail,2011,12,778,22,277,6,1083,Fresno County,06,019,06019
Fresno Sheriff's Department,Fresno North Annex  Jail,2011,12,601,0,240,0,841,Fresno County,06,019,06019
Fresno Sheriff's Department,Fresno South Annex Jail,2011,12,98,170,49,112,429,Fresno County,06,019,06019
Glenn Sheriff's Department,Glenn County Adult Detention Facility,2011,12,60,7,20,2,89,Glenn County,06,021,06021
Humboldt Sheriff's Department,Humboldt County Jail,2011,12,220,41,99,10,370,Humboldt County,06,023,06023
Imperial Sheriff's Department,Herbert Hughes Corr. Center,2011,12,125,29,41,5,200,Imperial County,06,025,06025
Imperial Sheriff's Department,Imperial Co (Adult Regional Det) Fac,2011,12,190,17,52,6,265,Imperial County,06,025,06025
Inyo Sheriff's Department,Inyo County Jail,2011,12,22,4,21,4,51,Inyo County,06,027,06027
Kern Sheriff's Department,Central Receiving Facility,2011,12,88,20,18,4,130,Kern County,06,029,06029
Kern Sheriff's Department,Lerdo Maximum,2011,12,262,0,99,0,361,Kern County,06,029,06029
Kern Sheriff's Department,Lerdo Minimum,2011,12,384,38,333,54,809,Kern County,06,029,06029
Kern Sheriff's Department,Lerdo Pretrial Facility,2011,12,881,114,127,34,1156,Kern County,06,029,06029
Kings Sheriff's Department,Kings County Jail,2011,12,228,24,148,33,433,Kings County,06,031,06031
Lake Sheriff's Department,Lake County Hill Road Facility,2011,12,141,22,82,19,264,Lake County,06,033,06033
Lassen Sheriff's Department,Lassen Adult Detention Facility,2011,12,35.48,9.67,25.8,3.23,74,Lassen County,06,035,06035
Los Angeles Sheriff's Department,Century Regional Detention Center,2011,12,0,930,0,854,1784,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,Los Angeles Central Jail,2011,12,2651,0,1677,0,4328,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,North County Correctional Facility,2011,12,2457,0,1287,0,3744,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,Peter Pitchess East Facility,2011,12,1176,0,509,0,1685,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,Peter Pitchess North Facility,2011,12,0,0,2,0,2,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,Peter Pitchess South Facility,2011,12,327,0,609,0,936,Los Angeles County,06,037,06037
Los Angeles Sheriff's Department,Twin Towers Correctional Facility,2011,12,1985,17,991,12,3005,Los Angeles County,06,037,06037
Madera Corrections Department,Madera Adult Correctional Facility,2011,12,229,38,61,14,342,Madera County,06,039,06039
Marin Sheriff's Department,Marin County Jail,2011,12,182,25,60,14,281,Marin County,06,041,06041
Mariposa Sheriff's Department,Mariposa County Adult Det. Facility,2011,12,11,6,18,4,39,Mariposa County,06,043,06043
Mendocino Sheriff's Department,Mendocino Adult Detention Facility,2011,12,108,17,68,13,206,Mendocino County,06,045,06045
Merced Sheriff's Department,John Latorraca Corr Fac,2011,12,283,50,98,9,440,Merced County,06,047,06047
Merced Sheriff's Department,Merced County Jail,2011,12,117,0,27,0,144,Merced County,06,047,06047
Modoc Sheriff's Department,Modoc County Jail,2011,12,13,3,4,3,23,Modoc County,06,049,06049
Mono Sheriff's Department,Mono County Jail,2011,12,10,2,11,1,24,Mono County,06,051,06051
Monterey Sheriff's Department,Monterey County Jail,2011,12,541,94,84,45,764,Monterey County,06,053,06053
Monterey Sheriff's Department,Monterey County Rehabilitation,2011,12,173,0,108,0,281,Monterey County,06,053,06053
Napa Corrections Department,Napa County Jail,2011,12,168,14,61,10,253,Napa County,06,055,06055
Nevada Sheriff's Department,Wayne Brown Correctional Facility,2011,12,89,13,67,9,178,Nevada County,06,057,06057
Orange Sheriff's Department,Intake Release Center,2011,12,117,285,39,269,710,Orange County,06,059,06059
Orange Sheriff's Department,James A Musick Facility,2011,12,249,39,717,130,1135,Orange County,06,059,06059
Orange Sheriff's Department,Orange County Mens Jail,2011,12,717,0,447,0,1164,Orange County,06,059,06059
Orange Sheriff's Department,Theo Lacy Facility,2011,12,1544,0,1314,0,2858,Orange County,06,059,06059
Santa Ana Police Department,Santa Ana Jail,2011,12,378,85,4,0,467,Orange County,06,059,06059
Placer Sheriff's Department,Placer County Main Jail,2011,12,299,40,55,10,404,Placer County,06,061,06061
Placer Sheriff's Department,Placer County Minimum Security,2011,12,7,3,108,22,140,Placer County,06,061,06061
Plumas Sheriff's Department,Plumas County Jail,2011,12,13,7,18,4,42,Plumas County,06,063,06063
Riverside Sheriff's Department,Blythe Jail,2011,12,41,0,28,0,69,Riverside County,06,065,06065
Riverside Sheriff's Department,Indio Jail,2011,12,229,48,50,15,342,Riverside County,06,065,06065
Riverside Sheriff's Department,Larry D Smith Correctional Facility,2011,12,716,107,473,151,1447,Riverside County,06,065,06065
Riverside Sheriff's Department,Robert Presley Detention Center,2011,12,518,127,132,34,811,Riverside County,06,065,06065
Riverside Sheriff's Department,Southwest County Detention Center,2011,12,754,3,325,0,1082,Riverside County,06,065,06065
Sacramento Sheriff's Department,Rio Cosumnes Correctional Center,2011,12,330,0,1270,0,1600,Sacramento County,06,067,06067
Sacramento Sheriff's Department,Rio Cosumnes- Womens Facility,2011,12,0,6,0,170,176,Sacramento County,06,067,06067
Sacramento Sheriff's Department,Sacramento County Main Jail,2011,12,1729,128,181,79,2117,Sacramento County,06,067,06067
San Benito Sheriff's Department,San Benito Adult Detention,2011,12,75,14,35,5,129,San Benito County,06,069,06069
San Bernardino Sheriff's Department,San Bernardino Central Detention Center,2011,12,836,66,38,37,977,San Bernardino County,06,071,06071
San Bernardino Sheriff's Department,San Bernardino County- Glen Helen,2011,12,225,151,540,138,1054,San Bernardino County,06,071,06071
San Bernardino Sheriff's Department,San Bernardino High Desert Detention Center,2011,12,297,0,47,0,344,San Bernardino County,06,071,06071
San Bernardino Sheriff's Department,West Valley Detention Center,2011,12,2161,325,345,43,2874,San Bernardino County,06,071,06071
San Diego Sheriff's Department,East Mesa Detention Facility,2011,12,57,0,348,0,405,San Diego County,06,073,06073
San Diego Sheriff's Department,George Bailey Detention Facility,2011,12,898,0,710,0,1608,San Diego County,06,073,06073
San Diego Sheriff's Department,Las Colinas Womens Detention,2011,12,0,334,0,315,649,San Diego County,06,073,06073
San Diego Sheriff's Department,San Diego Central Detention,2011,12,564,0,201,0,765,San Diego County,06,073,06073
San Diego Sheriff's Department,San Diego Facility #8,2011,12,90,0,107,0,197,San Diego County,06,073,06073
San Diego Sheriff's Department,South Bay Regional Facility- Chula Vista,2011,12,253,0,164,0,417,San Diego County,06,073,06073
San Diego Sheriff's Department,Vista Facility,2011,12,499,50,208,15,772,San Diego County,06,073,06073
San Diego Work Furlough,Wk. Furlough/Corr. Alternative,2011,12,0,0,136,44,180,San Diego County,06,073,06073
San Francisco Sheriff's Department,San Francisco County Jail #2,2011,12,96,101,8,31,236,San Francisco County,06,075,06075
San Francisco Sheriff's Department,San Francisco County Jail #3,2011,12,238,0,32,0,270,San Francisco County,06,075,06075
San Francisco Sheriff's Department,San Francisco County Jail #4,2011,12,283,0,38,0,321,San Francisco County,06,075,06075
San Francisco Sheriff's Department,San Francisco County Jail #5,2011,12,547,0,118,0,665,San Francisco County,06,075,06075
San Francisco Sheriff's Department,San Francisco County Jail #6,2011,12,0,0,0,0,0,San Francisco County,06,075,06075
San Joaquin Sheriff's Department,San Joaquin Honor Farm,2011,12,13,0,180,38,231,San Joaquin County,06,077,06077
San Joaquin Sheriff's Department,San Joaquin Main (J. Zunino) Jail,2011,12,695,69,139,29,932,San Joaquin County,06,077,06077
San Luis Obispo Sheriff's Department,San Luis Obispo County Jail,2011,12,265,52,186,37,540,San Luis Obispo County,06,079,06079
San Luis Obispo Sheriff's Department,San Luis Obispo Honor Farm,2011,12,0,0,56,0,56,San Luis Obispo County,06,079,06079
San Mateo Sheriff's Department,Maguire Facility,2011,12,532,3,243,1,779,San Mateo County,06,081,06081
San Mateo Sheriff's Department,Minimum Security Transitional Fac.,2011,12,0,0,25,0,25,San Mateo County,06,081,06081
San Mateo Sheriff's Department,Womens Correctional Center,2011,12,0,60,0,38,98,San Mateo County,06,081,06081
San Mateo Sheriff's Department,Womens Transitional Fac,2011,12,0,0,0,11,11,San Mateo County,06,081,06081
Santa Barbara Sheriff's Department,Santa Barbara County Main Jail,2011,12,483,50,120,18,671,Santa Barbara County,06,083,06083
Santa Barbara Sheriff's Department,Santa Barbara Medium Security Facility,2011,12,117,19,68,13,217,Santa Barbara County,06,083,06083
Santa Barbara Sheriff's Department,Santa Maria Branch Jail,2011,12,0,0,0,0,0,Santa Barbara County,06,083,06083
Santa Clara Corrections Department,Elmwood Complex - Women's Fac,2011,12,0,289,0,144,433,Santa Clara County,06,085,06085
Santa Clara Corrections Department,Elmwood Complex-Mens' Fac,2011,12,1075,0,639,0,1714,Santa Clara County,06,085,06085
Santa Clara Corrections Department,Santa Clara County Main Jail,2011,12,1084,0,184,0,1268,Santa Clara County,06,085,06085
Santa Cruz Sheriff's Department,Santa Cruz Blaine Womens Minimum,2011,12,0,3,0,13,16,Santa Cruz County,06,087,06087
Santa Cruz Sheriff's Department,Santa Cruz Main Jail (Water Street),2011,12,179,13,80,4,276,Santa Cruz County,06,087,06087
Santa Cruz Sheriff's Department,Santa Cruz Rountree Lane Minimum,2011,12,0,0,0,0,0,Santa Cruz County,06,087,06087
Santa Cruz Sheriff's Department,Santa Cruz Rountree Medium,2011,12,36,0,53,0,89,Santa Cruz County,06,087,06087
Shasta Sheriff's Department,Shasta County Main Jail,2011,12,150,19,54,11,234,Shasta County,06,089,06089
Sierra Sheriff's Department,Sierra County Jail,2011,12,3,1,2,0,6,Sierra County,06,091,06091
Siskiyou Sheriff's Department,Siskiyou County Jail,2011,12,77,3,11,5,96,Siskiyou County,06,093,06093
Solano Sheriff's Department,Claybank Facility,2011,12,100,0,40,0,140,Solano County,06,095,06095
Solano Sheriff's Department,Solano County Justice Center,2011,12,397,65,142,30,634,Solano County,06,095,06095
Sonoma Sheriff's Department,North County Detention Facility,2011,12,62,0,216,0,278,Sonoma County,06,097,06097
Sonoma Sheriff's Department,Sonoma County Main Adult Detention,2011,12,350,47,229,56,682,Sonoma County,06,097,06097
Stanislaus Sheriff's Department,Stanislaus Co. Public Safety Center,2011,12,423,73,126,48,670,Stanislaus County,06,099,06099
Stanislaus Sheriff's Department,Stanislaus County Honor Farm,2011,12,56,0,25,0,81,Stanislaus County,06,099,06099
Stanislaus Sheriff's Department,Stanislaus County Jail,2011,12,295,0,64,0,359,Stanislaus County,06,099,06099
Sutter Sheriff's Department,Sutter County Jail,2011,12,122,15,19,6,162,Sutter County,06,101,06101
