jurisdiction,year,month,census_county_name,fips_state_code,fips_county_code,fips_state_county_code,facility,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_facility
Tulare Sheriff's Department,2018,february,Tulare County,06,107,06107,Pre-Trial Facility,253,24,87,24,388
Tulare Sheriff's Department,2018,february,Tulare County,06,107,06107,Tulare County Jail,185,0,85,0,270
Tuolumne Sheriff's Department,2018,february,Tuolumne County,06,109,06109,Tuolumne County Jail,89,26,24,5,144
Ventura Sheriff's Department,2018,february,Ventura County,06,111,06111,Todd Road Jail,316,116,243,91,766
Ventura Sheriff's Department,2018,february,Ventura County,06,111,06111,Ventura County Main Jail,469,10,270,4,753
Yolo Sheriff's Department,2018,february,Yolo County,06,113,06113,Leinberger Center,50,8,46,7,111
Yolo Sheriff's Department,2018,february,Yolo County,06,113,06113,Monroe Detention Center,187,30,46,8,271
Yuba Sheriff's Department,2018,february,Yuba County,06,115,06115,Yuba County Jail,172,26,86,27,311
Alameda Sheriff's Department,2018,august,Alameda County,06,001,06001,Glen Dyer Jail,386,0,19,0,405
Alameda Sheriff's Department,2018,august,Alameda County,06,001,06001,Santa Rita Jail,1594,180,360,39,2173
Amador Sheriff's Department,2018,august,Amador County,06,005,06005,Amador County Jail,29,10,44,12,95
Butte Sheriff's Department,2018,august,Butte County,06,007,06007,Butte County Jail,318,51,172,30,571
Calaveras Sheriff's Department,2018,august,Calaveras County,06,009,06009,Calaveras Co. Adult Detention Facility,44,7,24,9,84
Colusa Sheriff's Department,2018,august,Colusa County,06,011,06011,Colusa County Jail,39,9,20,6,74
Contra Costa Sheriff's Department,2018,august,Contra Costa County,06,013,06013,Marsh Creek Detention Facility,0,0,57,0,57
Contra Costa Sheriff's Department,2018,august,Contra Costa County,06,013,06013,Martinez Detention Facility,520,26,123,6,675
Contra Costa Sheriff's Department,2018,august,Contra Costa County,06,013,06013,West County Detention Facility,308,121,155,33,617
Del Norte Sheriff's Department,2018,august,Del Norte County,06,015,06015,Del Norte County Jail,45,9,26,8,88
Fresno Sheriff's Department,2018,august,Fresno County,06,019,06019,Fresno County Main Jail,121,202,26,105,454
Fresno Sheriff's Department,2018,august,Fresno County,06,019,06019,Fresno North Annex  Jail,1209,0,460,0,1669
Fresno Sheriff's Department,2018,august,Fresno County,06,019,06019,Fresno South Annex Jail,708,16,209,3,936
Glenn Sheriff's Department,2018,august,Glenn County,06,021,06021,Glenn Co Adult Detention Fac,73,9,30,10,122
Humboldt Sheriff's Department,2018,august,Humboldt County,06,023,06023,Humboldt Co. Corr. Facility,248,44,91,13,396
Imperial Sheriff's Department,2018,august,Imperial County,06,025,06025,Herbert Hughes Corr. Center,73,10,5,5,93
Imperial Sheriff's Department,2018,august,Imperial County,06,025,06025,Imperial Adult Regional Fac.,146,20,181,10,357
Inyo Sheriff's Department,2018,august,Inyo County,06,027,06027,Inyo County Jail,23,4,20,5,52
Kern Sheriff's Department,2018,august,Kern County,06,029,06029,Central Receiving Facility,149,26,22,3,200
Kern Sheriff's Department,2018,august,Kern County,06,029,06029,Kern County Justice Facility,617,0,83,0,700
Kern Sheriff's Department,2018,august,Kern County,06,029,06029,Lerdo Maximum/Medium,178,15,40,19,252
Kern Sheriff's Department,2018,august,Kern County,06,029,06029,Lerdo Minimum,43,0,74,0,117
Kern Sheriff's Department,2018,august,Kern County,06,029,06029,Lerdo Pre-Trial Facility,479,169,31,25,704
Kings Sheriff's Department,2018,august,Kings County,06,031,06031,Kings County Jail Facility,369,79,101,32,581
Lake Sheriff's Department,2018,august,Lake County,06,033,06033,Lake County Hill Road Facility,155,25,93,24,297
Lassen Sheriff's Department,2018,august,Lassen County,06,035,06035,Lassen Adult Detention Facility,49,15,44,9,117
Los Angeles Sheriff's Department,2018,august,Los Angeles County,06,037,06037,LA Century Reg. Det. Facility,0,1350,0,810,2160
Los Angeles Sheriff's Department,2018,august,Los Angeles County,06,037,06037,LA Men's Central Jail,2875,0,1498,0,4373
Los Angeles Sheriff's Department,2018,august,Los Angeles County,06,037,06037,LA North County Corr. Facility,2597,0,1360,0,3957
Los Angeles Sheriff's Department,2018,august,Los Angeles County,06,037,06037,LA Pitchess East Facility,0,0,69,0,69
Los Angeles Sheriff's Department,2018,august,Los Angeles County,06,037,06037,LA Pitchess North Facility,891,0,558,0,1449
Los Angeles Sheriff's Department,2018,august,Los Angeles County,06,037,06037,LA Pitchess South (No. Annex),549,0,843,0,1392
Los Angeles Sheriff's Department,2018,august,Los Angeles County,06,037,06037,LA Twin Towers Corr. Facility,2464,10,862,5,3341
Madera Corrections Department,2018,august,Madera County,06,039,06039,Madera Adult Correctional Fac,331,50,69,9,459
Marin Sheriff's Department,2018,august,Marin County,06,041,06041,Marin County Jail,199,32,78,12,321
Mariposa Sheriff's Department,2018,august,Mariposa County,06,043,06043,Mariposa Co. Adult Det. Fac.,15,5,13,3,36
Mendocino Sheriff's Department,2018,august,Mendocino County,06,045,06045,Mendocino Adult Det. Facility,169,28,90,17,304
Merced Sheriff's Department,2018,august,Merced County,06,047,06047,John Latorraca Correctional Center,NA,NA,NA,NA,0
Merced Sheriff's Department,2018,august,Merced County,06,047,06047,Merced County Jail,NA,NA,NA,NA,0
Modoc Sheriff's Department,2018,august,Modoc County,06,049,06049,Modoc County Jail,25,4,8,3,40
Mono Sheriff's Department,2018,august,Mono County,06,051,06051,Mono County Jail,15,3,9,0,27
Monterey Sheriff's Department,2018,august,Monterey County,06,053,06053,Monterey County Jail,476,78,277,67,898
Monterey Sheriff's Department,2018,august,Monterey County,06,053,06053,Monterey County Rehabilitation,0,0,0,0,0
Napa Corrections Department,2018,august,Napa County,06,055,06055,Napa County Jail,139,16,66,19,240
Nevada Sheriff's Department,2018,august,Nevada County,06,057,06057,Wayne Brown Correctional Facility,134,29,46,10,219
Orange Sheriff's Department,2018,august,Orange County,06,059,06059,Intake Release Center,304,163,129,168,764
Orange Sheriff's Department,2018,august,Orange County,06,059,06059,James A Musick Facilities,150,21,594,87,852
Orange Sheriff's Department,2018,august,Orange County,06,059,06059,Orange County Mens Jail,794,0,357,0,1151
Orange Sheriff's Department,2018,august,Orange County,06,059,06059,Orange County Women's Jail,0,178,0,175,353
Orange Sheriff's Department,2018,august,Orange County,06,059,06059,Theo Lacy,1487,0,1690,0,3177
Placer Sheriff's Department,2018,august,Placer County,06,061,06061,Placer County Main Jail,242,33,44,8,327
Placer Sheriff's Department,2018,august,Placer County,06,061,06061,So. Placer Minimum Security,204,4,36,52,296
Placer Sheriff's Department,2018,august,Placer County,06,061,06061,South Placer Jail,8,0,104,0,112
Plumas Sheriff's Department,2018,august,Plumas County,06,063,06063,Plumas County Jail,30.419999999999998,6.52,11.77,1.84,51
Riverside Sheriff's Department,2018,august,Riverside County,06,065,06065,Blythe Jail,53,0,59,0,112
Riverside Sheriff's Department,2018,august,Riverside County,06,065,06065,Indio Jail,229,40,65,15,349
Riverside Sheriff's Department,2018,august,Riverside County,06,065,06065,Larry D. Smith Correctional Facility,887,129,377,80,1473
Riverside Sheriff's Department,2018,august,Riverside County,06,065,06065,Robert Presley Detention Ctr.,466,116,150,41,773
Riverside Sheriff's Department,2018,august,Riverside County,06,065,06065,Southwest Detention Center,733,5,314,1,1053
Sacramento Sheriff's Department,2018,august,Sacramento County,06,067,06067,Rio Cosumnes Correctional Ctr.,478,33,966,193,1670
Sacramento Sheriff's Department,2018,august,Sacramento County,06,067,06067,Sacramento County Main Jail,1421,171,349,61,2002
San Benito Sheriff's Department,2018,august,San Benito County,06,069,06069,San Benito Adult Detention,75,10,34,6,125
San Bernardino Sheriff's Department,2018,august,San Bernardino County,06,071,06071,San Bernardino Central Detention Center,360,185,164,62,771
San Bernardino Sheriff's Department,2018,august,San Bernardino County,06,071,06071,San Bernardino County Glen Helen,337,131,436,126,1030
San Bernardino Sheriff's Department,2018,august,San Bernardino County,06,071,06071,San Bernardino High Desert Detention Center,939,0,314,0,1253
San Bernardino Sheriff's Department,2018,august,San Bernardino County,06,071,06071,West Valley Detention Center,1842,281,424,60,2607
San Diego Sheriff's Department,2018,august,San Diego County,06,073,06073,East Mesa Reentry Facility,167,0,581,0,748
San Diego Sheriff's Department,2018,august,San Diego County,06,073,06073,George Bailey Detention Facility,831,0,747,0,1578
San Diego Sheriff's Department,2018,august,San Diego County,06,073,06073,Las Colinas Women's Detention,0,415,0,408,823
San Diego Sheriff's Department,2018,august,San Diego County,06,073,06073,San Diego Central Detention,714,0,274,0,988
San Diego Sheriff's Department,2018,august,San Diego County,06,073,06073,San Diego Facility #8,92,0,74,0,166
San Diego Sheriff's Department,2018,august,San Diego County,06,073,06073,South Bay Regional Facility- Chula Vista,232,0,152,0,384
San Diego Sheriff's Department,2018,august,San Diego County,06,073,06073,Vista Facility,456,49,282,20,807
San Diego Work Furlough,2018,august,San Diego County,06,073,06073,Wk. Furlough/Corr. Alternative,1,1,253,57,312
San Francisco Sheriff's Department,2018,august,San Francisco County,06,075,06075,San Francisco County Jail #2,120,108,21,19,268
San Francisco Sheriff's Department,2018,august,San Francisco County,06,075,06075,San Francisco County Jail #3,0,0,0,0,0
San Francisco Sheriff's Department,2018,august,San Francisco County,06,075,06075,San Francisco County Jail #4,289,0,51,0,340
San Francisco Sheriff's Department,2018,august,San Francisco County,06,075,06075,San Francisco County Jail #5,604,0,107,0,711
San Joaquin Sheriff's Department,2018,august,San Joaquin County,06,077,06077,John J. Zunino Facility,763,89,203,21,1076
San Joaquin Sheriff's Department,2018,august,San Joaquin County,06,077,06077,San Joaquin County Honor Farm,7,8,177,37,229
San Luis Obispo Sheriff's Department,2018,august,San Luis Obispo County,06,079,06079,San Luis Obispo County Jail,242,31,181,44,498
San Luis Obispo Sheriff's Department,2018,august,San Luis Obispo County,06,079,06079,San Luis Obispo Honor Farm,3,0,45,0,48
San Mateo Sheriff's Department,2018,august,San Mateo County,06,081,06081,Maguire Correctional Facility,392,4,132,0,528
San Mateo Sheriff's Department,2018,august,San Mateo County,06,081,06081,Maple Street Correctional Facility,180,55,161,42,438
San Mateo Sheriff's Department,2018,august,San Mateo County,06,081,06081,SM Transitional Facility,0,0,20,8,28
Santa Barbara Sheriff's Department,2018,august,Santa Barbara County,06,083,06083,Medium Security Facility,0,0,0,0,0
Santa Barbara Sheriff's Department,2018,august,Santa Barbara County,06,083,06083,Santa Barbara County Main Jail,546,83,302,63,994
Santa Clara Corrections Department,2018,august,Santa Clara County,06,085,06085,Elmwood Complex - Men's facility,0,0,0,0,0
Santa Clara Corrections Department,2018,august,Santa Clara County,06,085,06085,Elmwood Complex - Women's Facility,0,0,0,0,0
Santa Clara Corrections Department,2018,august,Santa Clara County,06,085,06085,Santa Clara County Main Jail,0,0,0,0,0
Santa Cruz Sheriff's Department,2018,august,Santa Cruz County,06,087,06087,Santa Cruz Blaine Womens Min,0,9,0,9,18
Santa Cruz Sheriff's Department,2018,august,Santa Cruz County,06,087,06087,Santa Cruz Main Jail,249,31,72,4,356
Santa Cruz Sheriff's Department,2018,august,Santa Cruz County,06,087,06087,Santa Cruz Medium Security,49,0,37,0,86
Shasta Sheriff's Department,2018,august,Shasta County,06,089,06089,Shasta County Main Jail,227,45,74,12,358
Siskiyou Sheriff's Department,2018,august,Siskiyou County,06,093,06093,Siskiyou County Jail,77,10,13,4,104
Solano Sheriff's Department,2018,august,Solano County,06,095,06095,Claybank Facility,130,20,69,16,235
Solano Sheriff's Department,2018,august,Solano County,06,095,06095,Solano County Justice Center,194,54,46,8,302
Solano Sheriff's Department,2018,august,Solano County,06,095,06095,Stanton Correctional Facility,198,0,41,0,239
Sonoma Sheriff's Department,2018,august,Sonoma County,06,097,06097,Sonoma Main Adult Detention,352,104,207,68,731
Sonoma Sheriff's Department,2018,august,Sonoma County,06,097,06097,Sonoma-North County Facility,126,0,175,0,301
Stanislaus Sheriff's Department,2018,august,Stanislaus County,06,099,06099,Public Safety Cntr Units 1 & 2,170,0,110,0,280
Stanislaus Sheriff's Department,2018,august,Stanislaus County,06,099,06099,REACT Center,38,16,93,19,166
Stanislaus Sheriff's Department,2018,august,Stanislaus County,06,099,06099,Stanislaus Co. Public Safety Center,539,84,92,31,746
Sutter Sheriff's Department,2018,august,Sutter County,06,101,06101,Sutter County Jail,116,12,52,19,199
Tehama Sheriff's Department,2018,august,Tehama County,06,103,06103,Tehama County Jail,101,17,58,16,192
Trinity Sheriff's Department,2018,august,Trinity County,06,105,06105,Trinity Co. Detention Facility,56,7,6,2,71
Tulare Sheriff's Department,2018,august,Tulare County,06,107,06107,Bob Wiley Detention Facility,352,81,160,70,663
Tulare Sheriff's Department,2018,august,Tulare County,06,107,06107,Men's Correctional Facility,112,0,128,0,240
Tulare Sheriff's Department,2018,august,Tulare County,06,107,06107,Pre-Trial Facility,213,32,78,45,368
Tulare Sheriff's Department,2018,august,Tulare County,06,107,06107,Tulare County Jail,184,0,83,0,267
Tuolumne Sheriff's Department,2018,august,Tuolumne County,06,109,06109,Tuolumne County Jail,93,23,22,6,144
Ventura Sheriff's Department,2018,august,Ventura County,06,111,06111,Todd Road Jail,293,117,257,106,773
Ventura Sheriff's Department,2018,august,Ventura County,06,111,06111,Ventura County Main Jail,491,8,272,5,776
Yolo Sheriff's Department,2018,august,Yolo County,06,113,06113,Leinberger Center,28,4,30,6,68
Yolo Sheriff's Department,2018,august,Yolo County,06,113,06113,Monroe Detention Center,179,28,52,7,266
Yuba Sheriff's Department,2018,august,Yuba County,06,115,06115,Yuba County Jail,266,36,58,7,367
Alameda Sheriff's Department,2018,april,Alameda County,06,001,06001,Glen Dyer Jail,384,0,31,0,415
Alameda Sheriff's Department,2018,april,Alameda County,06,001,06001,Santa Rita Jail,1545,201,366,48,2160
Amador Sheriff's Department,2018,april,Amador County,06,005,06005,Amador County Jail,28.27,8.93,47.27,9.76,94
Butte Sheriff's Department,2018,april,Butte County,06,007,06007,Butte County Jail,299,56,181,25,561
Calaveras Sheriff's Department,2018,april,Calaveras County,06,009,06009,Calaveras Co. Adult Detention Facility,43,7,38,11,99
Colusa Sheriff's Department,2018,april,Colusa County,06,011,06011,Colusa County Jail,39,9,28,9,85
Contra Costa Sheriff's Department,2018,april,Contra Costa County,06,013,06013,Marsh Creek Detention Facility,0,0,57,0,57
Contra Costa Sheriff's Department,2018,april,Contra Costa County,06,013,06013,Martinez Detention Facility,512,12,111,8,643
Contra Costa Sheriff's Department,2018,april,Contra Costa County,06,013,06013,West County Detention Facility,388,156,138,46,728
Del Norte Sheriff's Department,2018,april,Del Norte County,06,015,06015,Del Norte County Jail,46,9,33,6,94
El Dorado Sheriff's Department,2018,april,El Dorado County,06,017,06017,El Dorado County Jail,123,22,81,22,248
El Dorado Sheriff's Department,2018,april,El Dorado County,06,017,06017,South Lake Tahoe Jail,53,5,61,16,135
Fresno Sheriff's Department,2018,april,Fresno County,06,019,06019,Fresno County Main Jail,719,14,216,1,950
Fresno Sheriff's Department,2018,april,Fresno County,06,019,06019,Fresno North Annex  Jail,1109,0,467,0,1576
Fresno Sheriff's Department,2018,april,Fresno County,06,019,06019,Fresno South Annex Jail,120,212,21,112,465
Glenn Sheriff's Department,2018,april,Glenn County,06,021,06021,Glenn Co Adult Detention Fac,51,16,26,6,99
Humboldt Sheriff's Department,2018,april,Humboldt County,06,023,06023,Humboldt Co. Corr. Facility,230,37,99,27,393
Imperial Sheriff's Department,2018,april,Imperial County,06,025,06025,Herbert Hughes Corr. Center,82,11,5,5,103
Imperial Sheriff's Department,2018,april,Imperial County,06,025,06025,Imperial Adult Regional Fac.,164,22,202,11,399
Inyo Sheriff's Department,2018,april,Inyo County,06,027,06027,Inyo County Jail,25,3,21,5,54
Kern Sheriff's Department,2018,april,Kern County,06,029,06029,Central Receiving Facility,74,18,24,4,120
Kern Sheriff's Department,2018,april,Kern County,06,029,06029,Lerdo Maximum/Medium,268,0,109,0,377
Kern Sheriff's Department,2018,april,Kern County,06,029,06029,Lerdo Minimum,177,36,310,48,571
Kern Sheriff's Department,2018,april,Kern County,06,029,06029,Lerdo Pre-Trial Facility,714,127,97,27,965
Kings Sheriff's Department,2018,april,Kings County,06,031,06031,Kings County Jail Facility,329,52,70,22,473
Lake Sheriff's Department,2018,april,Lake County,06,033,06033,Lake County Hill Road Facility,150,28,96,28,302
Lassen Sheriff's Department,2018,april,Lassen County,06,035,06035,Lassen Adult Detention Facility,60,10,43,7,120
Los Angeles Sheriff's Department,2018,april,Los Angeles County,06,037,06037,LA Century Reg. Det. Facility,0,1264,0,859,2123
Los Angeles Sheriff's Department,2018,april,Los Angeles County,06,037,06037,LA Men's Central Jail,2702,0,1433,0,4135
Los Angeles Sheriff's Department,2018,april,Los Angeles County,06,037,06037,LA North County Corr. Facility,2381,0,1418,0,3799
Los Angeles Sheriff's Department,2018,april,Los Angeles County,06,037,06037,LA Pitchess East Facility,0,0,54,0,54
Los Angeles Sheriff's Department,2018,april,Los Angeles County,06,037,06037,LA Pitchess North Facility,847,0,611,0,1458
Los Angeles Sheriff's Department,2018,april,Los Angeles County,06,037,06037,LA Pitchess South (No. Annex),471,0,917,0,1388
Los Angeles Sheriff's Department,2018,april,Los Angeles County,06,037,06037,LA Twin Towers Corr. Facility,2362,32,916,14,3324
Madera Corrections Department,2018,april,Madera County,06,039,06039,Madera Adult Correctional Fac,304,38,68,13,423
Marin Sheriff's Department,2018,april,Marin County,06,041,06041,Marin County Jail,199,37,70,14,320
Mariposa Sheriff's Department,2018,april,Mariposa County,06,043,06043,Mariposa Co. Adult Det. Fac.,15,5,13,5,38
Mendocino Sheriff's Department,2018,april,Mendocino County,06,045,06045,Mendocino Adult Det. Facility,172,25,92,11,300
Merced Sheriff's Department,2018,april,Merced County,06,047,06047,John Latorraca Correctional Center,325,53,28,2,408
Merced Sheriff's Department,2018,april,Merced County,06,047,06047,Merced County Jail,162,5,7,0,174
Modoc Sheriff's Department,2018,april,Modoc County,06,049,06049,Modoc County Jail,16,3,12,1,32
Mono Sheriff's Department,2018,april,Mono County,06,051,06051,Mono County Jail,15,1,14,1,31
Monterey Sheriff's Department,2018,april,Monterey County,06,053,06053,Monterey County Jail,471,61,298,62,892
Monterey Sheriff's Department,2018,april,Monterey County,06,053,06053,Monterey County Rehabilitation,0,0,0,0,0
Napa Corrections Department,2018,april,Napa County,06,055,06055,Napa County Jail,139,25,61,10,235
Nevada Sheriff's Department,2018,april,Nevada County,06,057,06057,Wayne Brown Correctional Facility,144,41,39,8,232
Orange Sheriff's Department,2018,april,Orange County,06,059,06059,Intake Release Center,322,157,120,158,757
Orange Sheriff's Department,2018,april,Orange County,06,059,06059,James A Musick Facilities,139,16,572,159,886
Orange Sheriff's Department,2018,april,Orange County,06,059,06059,Orange County Mens Jail,734,0,335,0,1069
Orange Sheriff's Department,2018,april,Orange County,06,059,06059,Orange County Women's Jail,0,163,0,175,338
Orange Sheriff's Department,2018,april,Orange County,06,059,06059,Theo Lacy,1467,0,1604,0,3071
Placer Sheriff's Department,2018,april,Placer County,06,061,06061,Placer County Main Jail,246,33,45,8,332
Placer Sheriff's Department,2018,april,Placer County,06,061,06061,So. Placer Minimum Security,8,0,107,0,115
Placer Sheriff's Department,2018,april,Placer County,06,061,06061,South Placer Jail,210,5,36,45,296
Plumas Sheriff's Department,2018,april,Plumas County,06,063,06063,Plumas County Jail,26.630000000000003,9.229999999999999,7.970000000000001,1.27,45
Riverside Sheriff's Department,2018,april,Riverside County,06,065,06065,Blythe Jail,57,0,55,0,112
Riverside Sheriff's Department,2018,april,Riverside County,06,065,06065,Indio Jail,236,50,60,18,364
Riverside Sheriff's Department,2018,april,Riverside County,06,065,06065,Larry D. Smith Correctional Facility,913,119,369,85,1486
Riverside Sheriff's Department,2018,april,Riverside County,06,065,06065,Robert Presley Detention Ctr.,484,130,154,34,802
Riverside Sheriff's Department,2018,april,Riverside County,06,065,06065,Southwest Detention Center,656,4,261,1,922
Sacramento Sheriff's Department,2018,april,Sacramento County,06,067,06067,Rio Cosumnes Correctional Ctr.,576,33,875,160,1644
Sacramento Sheriff's Department,2018,april,Sacramento County,06,067,06067,Sacramento County Main Jail,1336,142,394,73,1945
San Benito Sheriff's Department,2018,april,San Benito County,06,069,06069,San Benito Adult Detention,68,12,42,11,133
San Bernardino Sheriff's Department,2018,april,San Bernardino County,06,071,06071,San Bernardino Central Detention Center,334,198,171,66,769
San Bernardino Sheriff's Department,2018,april,San Bernardino County,06,071,06071,San Bernardino County Glen Helen,314,126,408,141,989
San Bernardino Sheriff's Department,2018,april,San Bernardino County,06,071,06071,San Bernardino High Desert Detention Center,890,0,327,0,1217
San Bernardino Sheriff's Department,2018,april,San Bernardino County,06,071,06071,West Valley Detention Center,1680,253,375,74,2382
San Diego Sheriff's Department,2018,april,San Diego County,06,073,06073,East Mesa Reentry Facility,141,0,609,0,750
San Diego Sheriff's Department,2018,april,San Diego County,06,073,06073,George Bailey Detention Facility,796,0,832,0,1628
San Diego Sheriff's Department,2018,april,San Diego County,06,073,06073,Las Colinas Women's Detention,0,381,0,412,793
San Diego Sheriff's Department,2018,april,San Diego County,06,073,06073,San Diego Central Detention,685,0,324,0,1009
San Diego Sheriff's Department,2018,april,San Diego County,06,073,06073,San Diego Facility #8,123,0,85,0,208
San Diego Sheriff's Department,2018,april,San Diego County,06,073,06073,South Bay Regional Facility- Chula Vista,213,0,178,0,391
San Diego Sheriff's Department,2018,april,San Diego County,06,073,06073,Vista Facility,415,47,310,18,790
San Diego Work Furlough,2018,april,San Diego County,06,073,06073,Wk. Furlough/Corr. Alternative,0,0,0,0,0
San Francisco Sheriff's Department,2018,april,San Francisco County,06,075,06075,San Francisco County Jail #2,108,95,19,17,239
San Francisco Sheriff's Department,2018,april,San Francisco County,06,075,06075,San Francisco County Jail #3,0,0,0,0,0
San Francisco Sheriff's Department,2018,april,San Francisco County,06,075,06075,San Francisco County Jail #4,285,0,51,0,336
San Francisco Sheriff's Department,2018,april,San Francisco County,06,075,06075,San Francisco County Jail #5,551,0,97,0,648
San Joaquin Sheriff's Department,2018,april,San Joaquin County,06,077,06077,John J. Zunino Facility,776,87,141,17,1021
San Joaquin Sheriff's Department,2018,april,San Joaquin County,06,077,06077,San Joaquin County Honor Farm,8,7,172,33,220
San Luis Obispo Sheriff's Department,2018,april,San Luis Obispo County,06,079,06079,San Luis Obispo County Jail,223,31,177,45,476
San Luis Obispo Sheriff's Department,2018,april,San Luis Obispo County,06,079,06079,San Luis Obispo Honor Farm,3,0,47,0,50
San Mateo Sheriff's Department,2018,april,San Mateo County,06,081,06081,Maguire Correctional Facility,346,3,141,1,491
San Mateo Sheriff's Department,2018,april,San Mateo County,06,081,06081,Maple Street Correctional Facility,157,71,167,48,443
San Mateo Sheriff's Department,2018,april,San Mateo County,06,081,06081,SM Transitional Facility,0,0,17,9,26
Santa Barbara Sheriff's Department,2018,april,Santa Barbara County,06,083,06083,Medium Security Facility,0,0,0,0,0
Santa Barbara Sheriff's Department,2018,april,Santa Barbara County,06,083,06083,Santa Barbara County Main Jail,520,73,284,46,923
Santa Clara Corrections Department,2018,april,Santa Clara County,06,085,06085,Elmwood Complex - Men's facility,1409,NA,645,NA,2054
Santa Clara Corrections Department,2018,april,Santa Clara County,06,085,06085,Elmwood Complex - Women's Facility,NA,294,NA,139,433
Santa Clara Corrections Department,2018,april,Santa Clara County,06,085,06085,Santa Clara County Main Jail,680,NA,67,NA,747
Santa Cruz Sheriff's Department,2018,april,Santa Cruz County,06,087,06087,Santa Cruz Blaine Womens Min,0,5,0,11,16
Santa Cruz Sheriff's Department,2018,april,Santa Cruz County,06,087,06087,Santa Cruz Main Jail,230,22,72,7,331
Santa Cruz Sheriff's Department,2018,april,Santa Cruz County,06,087,06087,Santa Cruz Medium Security,45,0,43,0,88
Shasta Sheriff's Department,2018,april,Shasta County,06,089,06089,Shasta County Main Jail,222,41,73,17,353
Siskiyou Sheriff's Department,2018,april,Siskiyou County,06,093,06093,Siskiyou County Jail,73,8,10,6,97
Solano Sheriff's Department,2018,april,Solano County,06,095,06095,Claybank Facility,113,24,78,14,229
Solano Sheriff's Department,2018,april,Solano County,06,095,06095,Solano County Justice Center,207,36,39,10,292
Solano Sheriff's Department,2018,april,Solano County,06,095,06095,Stanton Correctional Facility,155,0,56,0,211
Sonoma Sheriff's Department,2018,april,Sonoma County,06,097,06097,Sonoma Main Adult Detention,364,96,188,67,715
Sonoma Sheriff's Department,2018,april,Sonoma County,06,097,06097,Sonoma-North County Facility,171,0,200,0,371
Stanislaus Sheriff's Department,2018,april,Stanislaus County,06,099,06099,Public Safety Cntr Units 1 & 2,188,0,158,0,346
Stanislaus Sheriff's Department,2018,april,Stanislaus County,06,099,06099,Stanislaus Co. Public Safety Center,552,98,124,51,825
Sutter Sheriff's Department,2018,april,Sutter County,06,101,06101,Sutter County Jail,131,18,50,24,223
Tehama Sheriff's Department,2018,april,Tehama County,06,103,06103,Tehama County Jail,104,23,56,13,196
Trinity Sheriff's Department,2018,april,Trinity County,06,105,06105,Trinity Co. Detention Facility,0,0,0,0,0
Tulare Sheriff's Department,2018,april,Tulare County,06,107,06107,Bob Wiley Detention Facility,375,92,137,70,674
Tulare Sheriff's Department,2018,april,Tulare County,06,107,06107,Men's Correctional Facility,88,0,116,0,204
Tulare Sheriff's Department,2018,april,Tulare County,06,107,06107,Pre-Trial Facility,224,20,103,21,368
Tulare Sheriff's Department,2018,april,Tulare County,06,107,06107,Tulare County Jail,178,0,91,0,269
Tuolumne Sheriff's Department,2018,april,Tuolumne County,06,109,06109,Tuolumne County Jail,85,27,26,6,144
Ventura Sheriff's Department,2018,april,Ventura County,06,111,06111,Todd Road Jail,307,107,247,96,757
Ventura Sheriff's Department,2018,april,Ventura County,06,111,06111,Ventura County Main Jail,425,10,294,4,733
Yolo Sheriff's Department,2018,april,Yolo County,06,113,06113,Leinberger Center,33,3,33,5,74
Yolo Sheriff's Department,2018,april,Yolo County,06,113,06113,Monroe Detention Center,171,28,65,9,273
Yuba Sheriff's Department,2018,april,Yuba County,06,115,06115,Yuba County Jail,256,30,48,7,341
Alameda Sheriff's Department,2017,september,Alameda County,06,001,06001,Glen Dyer Jail,378,0,26,0,404
Alameda Sheriff's Department,2017,september,Alameda County,06,001,06001,Santa Rita Jail,1568,192,351,35,2146
Amador Sheriff's Department,2017,september,Amador County,06,005,06005,Amador County Jail,33.77,13.9,34.37,8.5,91
Butte Sheriff's Department,2017,september,Butte County,06,007,06007,Butte County Jail,309,50,172,30,561
Calaveras Sheriff's Department,2017,september,Calaveras County,06,009,06009,Calaveras Co. Adult Detention Facility,49,10,23,9,91
Colusa Sheriff's Department,2017,september,Colusa County,06,011,06011,Colusa County Jail,43,11,17,4,75
Contra Costa Sheriff's Department,2017,september,Contra Costa County,06,013,06013,Marsh Creek Detention Facility,0,0,51,0,51
Contra Costa Sheriff's Department,2017,september,Contra Costa County,06,013,06013,Martinez Detention Facility,495,18,123,13,649
Contra Costa Sheriff's Department,2017,september,Contra Costa County,06,013,06013,West County Detention Facility,414,176,141,47,778
Del Norte Sheriff's Department,2017,september,Del Norte County,06,015,06015,Del Norte County Jail,50,4,36,18,108
El Dorado Sheriff's Department,2017,september,El Dorado County,06,017,06017,El Dorado County Jail,129,23,81,23,256
El Dorado Sheriff's Department,2017,september,El Dorado County,06,017,06017,South Lake Tahoe Jail,41,7,85,12,145
Fresno Sheriff's Department,2017,september,Fresno County,06,019,06019,Fresno County Main Jail,648,14,250,3,915
Fresno Sheriff's Department,2017,september,Fresno County,06,019,06019,Fresno North Annex  Jail,1135,0,531,0,1666
Fresno Sheriff's Department,2017,september,Fresno County,06,019,06019,Fresno South Annex Jail,115,205,29,129,478
